favourite_subject,coding_interest,math_skill,creativity_level,communication_skill,problem_solving_skill,career_path
Design,Medium,Low,High,High,Medium,Web Development
Mathematics,High,High,Medium,Medium,High,Data Science
Mathematics,High,High,Medium,Medium,High,Data Science
Programming,High,High,Medium,High,High,Artificial Intelligence
Design,High,Low,Low,High,Low,Software Engineering
Programming,High,High,Medium,High,High,Artificial Intelligence
Programming,High,High,Medium,High,High,Artificial Intelligence
Programming,High,High,Medium,High,High,Artificial Intelligence
Design,Medium,Low,High,High,Medium,Web Development
Mathematics,High,High,Medium,Medium,High,Data Science
Design,Medium,Low,High,High,Medium,Web Development
Mathematics,High,High,Medium,Medium,High,Data Science
Programming,High,Medium,Medium,High,High,Software Engineering
Mathematics,High,High,Medium,Medium,High,Data Science
Networking,High,Medium,Low,Medium,High,Cybersecurity
Programming,High,Medium,Medium,High,High,Software Engineering
Networking,High,Medium,Low,Medium,High,Cybersecurity
Mathematics,High,High,Medium,Medium,High,Data Science
Networking,High,Medium,Low,Medium,High,Cybersecurity
Design,Medium,Low,High,High,Medium,Web Development
Mathematics,High,High,Medium,Medium,High,Data Science
Networking,High,Medium,Low,Medium,High,Cybersecurity
Networking,High,Medium,Low,Medium,High,Cybersecurity
Programming,High,Medium,Medium,High,High,Software Engineering
Networking,High,Medium,Low,Medium,High,Cybersecurity
Networking,High,Medium,Low,Medium,High,Cybersecurity
Networking,High,Medium,Low,Medium,High,Cybersecurity
Mathematics,High,Medium,High,High,High,Cybersecurity
Design,Medium,Low,High,High,Medium,Web Development
Design,Medium,Low,High,High,Medium,Web Development
Design,Medium,Low,High,High,Medium,Web Development
Programming,High,Medium,Medium,High,High,Software Engineering
Networking,High,Medium,Low,Medium,High,Cybersecurity
Programming,High,Medium,Medium,High,High,Software Engineering
Programming,High,High,Medium,High,High,Artificial Intelligence
Design,Medium,Low,High,High,Medium,Web Development
Design,Medium,Low,High,High,Medium,Web Development
Networking,High,Medium,Low,Medium,High,Cybersecurity
Programming,High,Medium,Medium,High,High,Software Engineering
